,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당율(%),배당성향(%),회사명
2022.12(E),,,,,,,,,,,,,,,,,메가스터디
2019.12,488,51,25,10.40,5.19,8.37,93.42,110.44,1346.02,314,18.00,3815,1.48,,,-,그린플러스
2020.12,627,59,-21,9.47,-3.41,-5.53,161.83,82.86,600.39,-201,-63.58,3494,3.66,-,-,-,그린플러스
2021.12,832.0,51.0,-47.0,6.12,-5.7,-8.63,67.18,182.22,923.36,-394.0,-40.01,5128.0,3.07,,,,그린플러스
2022.12(E),976,77,40,7.89,4.10,6.79,,,,356,35.91,5447,2.35,-,,,그린플러스
2019.12,447,52,54,11.67,12.09,,84.98,115.29,1461.56,416,,1536,-,,,1.20,리파인
2020.12,542,202,161,37.35,29.66,57.37,37.15,282.29,2672.05,1236,,2772,-,,,-,리파인
2021.12,588.0,210.0,169.0,35.74,28.72,19.75,9.12,1327.42,8037.5,1223.0,11.74,7976.0,1.8,,,,리파인
2022.12(E),,,,,,,,,,,,,,,,,리파인
2019.12,319,37,19,11.73,6.00,37.43,356.53,40.84,9226.51,249,,607,-,,,-,엔시스
2020.12,364,74,36,20.38,9.83,,87.05,89.20,1606.79,448,,1707,-,,,-,엔시스
2021.12,427.0,77.0,48.0,18.03,11.31,13.87,27.54,312.2,5043.5,477.0,42.69,5185.0,3.92,70.0,0.34,15.3,엔시스
2022.12(E),,,,,,,,,,,,,,,,,엔시스
2019.12,300.0,72.0,72.0,24.03,24.16,17.63,22.17,464.45,1305.46,1091.0,10.72,6987.0,1.67,200.0,1.71,21.86,팜스빌
2020.12,394.0,43.0,29.0,10.93,7.28,5.21,23.81,349.88,1342.72,365.0,29.89,7093.0,1.54,100.0,0.92,27.14,팜스빌
2021.12,390.0,62.0,50.0,15.78,12.8,8.71,25.3,537.07,1432.14,631.0,21.73,7545.0,1.82,100.0,0.73,15.69,팜스빌
2022.12(E),,,,,,,,,,,,,,,,,팜스빌
2019.12,245,42,36,17.11,14.48,6.40,64.61,48.18,911.23,61,21.24,976,1.33,-,-,-,조광ILI
2020.12,345,69,-37,20.15,-10.76,-5.64,51.25,16.28,988.46,-62,-26.04,1002,1.61,,,-,조광ILI
2021.12,315,51,20,16.15,6.22,2.45,51.53,23.58,1078.79,25,57.81,1050,1.35,,,-,조광ILI
2022.12(E),,,,,,,,,,,,,,,,,조광ILI
2019.12,263,31,57,11.62,21.90,15.10,13.68,632.67,276.85,218,25.72,1546,3.63,-,-,-,나노엔텍
2020.12,294,34,27,11.56,9.29,6.33,16.11,543.22,307.95,103,84.09,1698,5.08,-,-,-,나노엔텍
2021.12,358.0,52.0,73.0,14.63,20.46,14.97,19.32,398.83,361.16,273.0,27.27,1953.0,3.81,,,,나노엔텍
2022.12(E),,,,,,,,,,,,,,,,,나노엔텍
2019.12,669,3,11,0.44,1.57,1.60,81.29,124.03,4734.40,54,38.99,3514,0.59,-,-,-,에코캡
2020.12,727,-68,-111,-9.31,-15.28,-18.21,107.78,102.50,3973.39,-565,-3.80,2946,0.73,-,-,-,에코캡
2021.12,854,-123,-86,-14.37,-10.03,-16.38,134.17,70.45,3478.31,-436,-16.86,2564,2.86,,,-,에코캡
2022.12(E),,,,,,,,,,,,,,,,,에코캡
2019.12,14950.0,362.0,339.0,2.42,2.27,7.12,68.78,153.8,1941.93,849.0,11.59,12980.0,0.76,140.0,1.42,15.7,삼지전자
2020.12,15895.0,481.0,498.0,3.02,3.13,12.77,70.42,139.42,2512.83,1649.0,7.49,14329.0,0.86,300.0,2.43,17.1,삼지전자
2021.12,25000.0,931.0,613.0,3.73,2.45,12.53,91.72,128.47,2873.61,1874.0,6.54,17497.0,0.7,400.0,3.27,20.06,삼지전자
2022.12(E),,,,,,,,,,,,,,,,,삼지전자
2019.12,648.0,55.0,45.0,8.44,6.88,9.03,11.94,857.55,1420.13,655.0,25.19,7517.0,2.2,70.0,0.42,10.6,푸드나무
2020.12,1172.0,66.0,63.0,5.67,5.37,11.76,18.13,430.27,1591.14,925.0,26.33,8361.0,2.91,300.0,1.23,32.08,푸드나무
2021.12,1912.0,15.0,3.0,0.78,0.14,0.47,28.66,209.68,1540.91,38.0,829.67,8124.0,3.91,30.0,0.09,77.5,푸드나무
2022.12(E),2320,2,-,0.09,,-0.74,,,,-59,-339.45,8136,2.45,30,,,푸드나무
2019.12,380.0,22.0,15.0,5.74,3.92,4.79,117.99,143.79,971.69,252.0,66.73,5645.0,2.98,49.0,0.29,18.51,에스퓨얼셀
2020.12,470.0,21.0,16.0,4.53,3.36,,77.98,179.75,1815.66,267.0,139.54,9859.0,3.78,100.0,0.27,41.43,에스퓨얼셀
2021.12,473.0,23.0,49.0,4.77,10.27,7.25,69.06,173.49,1935.63,715.0,39.04,10202.0,2.73,100.0,0.36,14.08,에스퓨얼셀
2022.12(E),660.0,38.0,22.0,5.76,3.33,3.54,,,,364.0,53.07,10372.0,1.86,100.0,,,에스퓨얼셀
2019.12,272.0,-33.0,-16.0,-12.25,-5.76,-4.94,71.15,247.35,937.59,-43.0,-31.43,1019.0,1.33,10.0,0.74,-23.43,네오셈
2020.12,486.0,120.0,81.0,24.69,16.6,20.01,48.06,279.69,1140.11,215.0,16.8,1193.0,3.03,20.0,0.55,8.98,네오셈
2021.12,372.0,48.0,56.0,13.04,15.18,11.99,74.46,542.32,1324.38,150.0,24.12,1401.0,2.58,15.0,0.41,9.66,네오셈
2022.12(E),901.0,141.0,139.0,15.65,15.43,23.26,,,,364.0,9.54,1887.0,1.84,25.0,,,네오셈
2019.12,1483.0,237.0,211.0,16.0,14.23,15.73,48.13,144.53,1018.89,790.0,10.48,5617.0,1.47,40.0,0.48,4.87,가비아
2020.12,1690.0,285.0,238.0,16.89,14.05,14.99,50.13,208.43,1242.18,895.0,14.7,6779.0,1.94,60.0,0.46,6.46,가비아
2021.12,2004.0,331.0,250.0,16.51,12.47,12.4,48.08,127.56,1426.93,864.0,15.62,7620.0,1.77,70.0,0.52,7.88,가비아
2022.12(E),,,,,,,,,,,,,,,,,가비아
2019.12,1213.0,39.0,70.0,3.24,5.76,3.05,25.07,125.94,2770.78,436.0,27.2,14399.0,0.82,200.0,1.69,45.9,농우바이오
2020.12,1300.0,42.0,95.0,3.23,7.27,4.03,27.73,117.56,2848.06,586.0,17.82,14729.0,0.71,200.0,1.91,34.11,농우바이오
2021.12,1328.0,68.0,70.0,5.14,5.23,2.89,27.63,108.11,2894.52,432.0,25.33,15198.0,0.72,200.0,1.83,39.56,농우바이오
2022.12(E),1425.0,72.0,,5.09,,,,,,499.0,16.95,,,,,,농우바이오
2019.12,95,13,14,13.46,14.39,7.51,11.23,1036.37,716.33,298,,4115,-,,,-,지오엘리먼트
2020.12,132,29,25,21.80,18.64,12.20,15.36,648.98,821.71,534,,4642,-,,,-,지오엘리먼트
2021.12,217.0,61.0,53.0,28.19,24.49,16.84,11.54,860.33,1243.15,1096.0,33.85,6741.0,5.5,100.0,0.27,11.65,지오엘리먼트
2022.12(E),,,,,,,,,,,,,,,,,지오엘리먼트
2019.12,3188.0,141.0,76.0,4.43,2.38,6.58,110.78,94.98,1955.76,802.0,25.42,12469.0,1.64,120.0,0.59,14.96,우리산업
2020.12,2890.0,103.0,54.0,3.57,1.88,4.53,106.77,96.56,2039.95,574.0,41.45,12890.0,1.85,120.0,0.5,20.9,우리산업
2021.12,2842.0,-73.0,5.0,-2.58,0.19,0.33,103.14,109.3,2030.91,42.0,485.33,12845.0,1.6,130.0,0.63,306.27,우리산업
2022.12(E),,,,,,,,,,,,,,,,,우리산업
2019.12,1621,61,-49,3.79,-3.00,-6.63,149.71,91.80,406.59,-168,-24.62,2462,1.68,,,-,제주반도체
2020.12,1270,66,111,5.18,8.76,12.79,70.24,94.66,491.32,329,11.38,2901,1.29,,,-,제주반도체
2021.12,1933.0,201.0,128.0,10.38,6.62,12.14,43.43,125.28,601.51,368.0,17.66,3477.0,1.87,,,,제주반도체
2022.12(E),,,,,,,,,,,,,,,,,제주반도체
2019.12,286,15,10,5.21,3.32,5.75,200.67,56.99,713.63,27,,482,,,,-,네온테크
2020.12,391,14,-48,3.65,-12.26,-21.10,117.33,80.79,645.00,-132,-21.96,807,3.58,,,-,네온테크
2021.12,499,-29,-45,-5.81,-8.94,-14.05,110.32,68.28,758.61,-115,-35.28,925,4.39,,,-,네온테크
2022.12(E),,,,,,,,,,,,,,,,,네온테크
2019.12,354,-62,-86,-17.44,-24.26,-22.41,114.90,64.43,-41.77,-321,-11.78,1380,2.74,-,-,-,셀바스AI
2020.12,348,-15,43,-4.40,12.31,12.30,85.09,133.58,2.14,185,15.08,1628,1.71,-,-,-,셀바스AI
2021.12,486.0,56.0,48.0,11.52,9.9,9.82,75.69,147.24,38.63,172.0,68.42,1872.0,6.28,,,,셀바스AI
2022.12(E),,,,,,,,,,,,,,,,,셀바스AI
2016.12,2,-6,-14,-335.76,-810.00,-26.70,139.54,17.66,-47.82,-81,,262,-,,,-,차백신연구소
2020.12,1,-42,-62,-5442.98,-8021.41,,1536.83,520.96,-88.72,-279,,70,-,,,-,차백신연구소
2021.12,5.0,-61.0,-184.0,-1216.93,-3684.01,-89.44,64.87,250.33,194.14,-792.0,-14.01,1499.0,7.41,,,,차백신연구소
2022.12(E),,,,,,,,,,,,,,,,,차백신연구소
2019.12,345,63,49,18.33,14.14,7.47,19.77,547.96,1667.05,140,20.22,2005,1.41,-,-,-,엑셈
2020.12,392,96,87,24.63,22.22,11.64,17.15,562.85,1909.96,242,18.37,2253,1.97,-,-,-,엑셈
2021.12,473.0,123.0,113.0,26.0,23.83,13.43,22.39,295.65,2281.55,314.0,13.64,2485.0,1.72,,,,엑셈
2022.12(E),560.0,159.0,,28.39,,,,,,360.0,10.23,,,,,,엑셈
2017.12,,-9,-10,,,,414.71,121.24,51.94,-121,,168,-,,,,바이젠셀
2018.12,-,-13,-65,-3939.55,-19871.49,519.17,-302.00,42.77,-452.72,-556,,-382,-,,,,바이젠셀
2019.12,-,-50,-224,-32961.53,-149214.77,150.62,-204.63,32.56,-2192.34,-1803,,-1992,-,,,,바이젠셀
2022.12(E),,,,,,,,,,,,,,,,,바이젠셀
2019.12,4189.0,307.0,221.0,7.32,5.27,11.88,44.87,135.19,2360.21,1319.0,7.14,12706.0,0.74,240.0,2.55,16.62,토비스
2020.12,2728,-56,-66,-2.05,-2.43,-3.39,52.52,100.86,2227.94,-383,-20.08,12009,0.64,-,-,-,토비스
2021.12,2634.0,-9.0,11.0,-0.33,0.42,0.68,85.6,71.68,2253.28,75.0,113.55,12127.0,0.71,100.0,1.17,122.55,토비스
2022.12(E),3570.0,149.0,,4.17,,,,,,734.0,11.11,,,,,,토비스
2019.12,106,8,7,7.65,6.46,,199.27,461.01,732.82,151,,460,-,,,-,포바이포
2020.12,140,18,14,12.96,9.68,47.76,316.64,258.76,1369.08,294,,764,-,,,-,포바이포
2021.12,223,40,38,18.02,16.90,18.78,21.79,547.56,726.06,577,,4254,-,,,-,포바이포
2022.12(E),,,,,,,,,,,,,,,,,포바이포
2019.12,41,-17,-20,-41.52,-49.55,-57.91,253.57,41.46,1366.51,-476,,1374,-,,,-,바이오다인
2020.12,37,-18,-45,-49.75,-121.34,-65.61,260.53,101.47,184.98,-883,,1363,-,,,-,바이오다인
2021.12,38.0,-23.0,-109.0,-62.25,-288.5,-47.72,19.02,366.22,1479.29,-1806.0,-18.49,6546.0,5.1,,,,바이오다인
2022.12(E),,,,,,,,,,,,,,,,,바이오다인
2019.12,598,69,58,11.59,9.72,7.91,73.57,495.16,391.35,156,23.94,2049,1.82,-,-,-,글로벌텍스프리
2020.12,102,-114,-55,-112.23,-53.74,-7.67,31.77,245.96,365.59,-144,-21.71,1909,1.64,-,-,-,글로벌텍스프리
2021.12,381,-138,-252,-36.10,-66.11,-35.31,48.76,133.37,270.83,-544,-5.42,1571,1.88,,,-,글로벌텍스프리
2022.12(E),,,,,,,,,,,,,,,,,글로벌텍스프리
2018.12,2,-9,-8,-574.76,-508.55,,1095.07,1302.41,29.29,-206,,238,-,,,-,에이프릴바이오
2019.12,2,-29,-48,-1947.90,-3215.28,324.58,-314.66,60.49,-662.16,-1271,,-1022,-,,,-,에이프릴바이오
2021.12,234,44,-527,19.00,-225.31,-242.98,7.37,1468.26,513.06,-9393,,6227,-,,,-,에이프릴바이오
2022.12(E),,,,,,,,,,,,,,,,,에이프릴바이오
2019.12,1254,120,113,9.54,9.04,28.33,17.52,199.39,1243.82,339,,1389,-,,,-,와이팜
2020.12,374.0,-37.0,93.0,-9.91,24.89,,7.66,1292.43,405.86,265.0,49.41,2609.0,5.02,100.0,0.76,39.96,와이팜
2021.12,600.0,2.0,-76.0,0.27,-12.72,-8.08,26.76,70.19,346.1,-199.0,-36.17,2314.0,3.11,,,,와이팜
2022.12(E),,,,,,,,,,,,,,,,,와이팜
2019.12,758.0,128.0,114.0,16.9,15.02,17.69,19.25,210.57,1237.76,1077.0,9.56,6537.0,1.58,270.0,2.62,26.05,오션브릿지
2020.12,916.0,154.0,155.0,16.81,16.86,20.23,20.39,236.8,1468.9,1422.0,12.73,7703.0,2.35,320.0,1.77,22.22,오션브릿지
2021.12,939.0,160.0,146.0,17.05,15.58,16.69,28.68,260.27,1673.02,1332.0,12.46,8618.0,1.93,300.0,1.81,21.84,오션브릿지
2022.12(E),,,,,,,,,,,,,,,,,오션브릿지
2019.12,209,19,19,9.03,9.23,5.42,20.21,283.58,594.00,30,45.99,616,2.26,-,-,-,켐온
2020.12,248,24,19,9.83,7.76,4.18,32.93,266.78,756.19,30,150.44,856,5.29,-,-,-,켐온
2021.12,291.0,41.0,44.0,13.99,15.0,7.69,36.25,196.52,823.13,68.0,54.06,923.0,4.01,,,,켐온
2022.12(E),,,,,,,,,,,,,,,,,켐온
2019.12,214.0,85.0,67.0,39.78,31.47,8.7,5.54,,232.15,141.0,13.8,1661.0,1.17,50.0,2.58,35.56,에이티넘인베스트
2020.12,322.0,172.0,146.0,53.43,45.43,17.04,9.22,,283.08,305.0,8.52,1915.0,1.35,100.0,3.85,32.82,에이티넘인베스트
2021.12,1176.0,832.0,660.0,70.75,56.11,54.18,31.05,,538.07,1375.0,3.86,3198.0,1.66,200.0,3.77,14.44,에이티넘인베스트
2022.12(E),,,,,,,,,,,,,,,,,에이티넘인베스트
2019.12,341,46,43,13.51,12.54,25.14,206.37,62.13,335.04,439,,1961,-,,,0.04,아셈스
2020.12,340,48,11,14.21,3.09,3.36,99.56,72.52,434.07,85,,3108,-,,,-,아셈스
2021.12,420,61,57,14.54,13.56,16.98,104.10,75.31,558.95,599,,3941,-,,,,아셈스
2022.12(E),553,101,98,18.26,17.81,21.70,,,,878,13.72,4797,2.51,-,,,아셈스
2019.12,625,50,11,7.93,1.79,5.43,170.09,29.10,1527.53,141,,2803,-,,,-,영창케미칼
2020.12,608,41,38,6.80,6.32,15.91,194.38,22.99,136.09,483,,3270,-,,,-,영창케미칼
2021.12,664,22,-8,3.37,-1.23,-3.03,194.84,21.92,245.35,-102,,3440,-,,,-,영창케미칼
2022.12(E),890,80,45,8.94,5.06,15.30,,,,497,26.07,3076,4.21,-,,,영창케미칼
2019.12,589,127,116,21.50,19.73,26.34,59.96,146.13,9847.16,1484,,6365,-,,,-,위드텍
2020.12,556,88,85,15.90,15.26,12.19,30.87,282.59,3371.73,1008,24.20,8679,2.81,,,-,위드텍
2021.12,683.0,88.0,109.0,12.9,15.95,11.61,26.11,337.1,1849.33,1070.0,17.48,9756.0,1.92,,,,위드텍
2022.12(E),,,,,,,,,,,,,,,,,위드텍
2019.12,1381,37,440,2.68,31.84,40.27,66.18,122.70,720.88,1410,5.94,4446,1.89,-,-,-,테라젠이텍스
2020.12,1430,-63,-91,-4.40,-6.35,-3.52,39.39,117.44,735.65,-281,-36.79,11711,0.88,,,-,테라젠이텍스
2021.12,1666.0,-74.0,-114.0,-4.47,-6.83,-3.97,49.4,98.37,662.6,-365.0,-17.55,6958.0,0.92,,,,테라젠이텍스
2022.12(E),,,,,,,,,,,,,,,,,테라젠이텍스
2019.12,65,17,15,25.64,22.33,22.87,127.58,105.18,55.76,127,93.79,645,18.48,,,-,선바이오
2020.12,55,16,12,30.03,22.02,14.79,101.13,183.56,87.10,104,139.75,769,18.99,,,-,선바이오
2021.12,100.0,34.0,3.0,33.89,2.86,2.35,28.08,369.51,125.81,25.0,1060.7,1319.0,19.72,,,,선바이오
2022.12(E),,,,,,,,,,,,,,,,,선바이오
2019.12,4987.0,66.0,-2.0,1.33,-0.03,0.01,272.41,33.06,652.61,0.0,24405.55,2556.0,2.01,138.0,2.67,65227.49,예스24
2020.12,6128.0,101.0,-1.0,1.66,-0.02,0.13,118.1,49.57,941.87,6.0,1779.84,6619.0,1.54,138.0,1.35,2405.86,예스24
2021.12,6537.0,126.0,183.0,1.93,2.79,7.48,76.4,31.19,739.91,746.0,11.66,13329.0,0.65,200.0,2.3,26.79,예스24
2022.12(E),,,,,,,,,,,,,,,,,예스24
2019.12,2136,112,93,5.26,4.37,13.70,75.42,72.30,658.30,466,22.45,3694,2.83,-,-,-,제로투세븐
2020.12,1410,6,-6,0.40,-0.44,-0.85,53.72,84.12,652.43,-31,-277.57,3666,2.32,-,-,-,제로투세븐
2021.12,1120.0,23.0,12.0,2.08,1.04,1.59,31.93,122.02,663.53,58.0,188.42,3768.0,2.91,,,,제로투세븐
2022.12(E),1070,69,50,6.45,4.67,,,,,275,23.82,,,-,,,제로투세븐
2019.12,348,-12,-19,-3.34,-5.43,-4.90,87.11,181.20,929.50,-49,-22.60,981,1.12,-,-,-,이노시스
2020.12,278,-108,-123,-38.90,-44.22,-37.75,137.89,78.09,613.47,-316,-2.83,667,1.34,,,-,이노시스
2021.12,381,-8,-52,-2.14,-13.70,-17.87,160.84,132.29,555.80,-110,-8.93,614,1.60,,,-,이노시스
2022.12(E),,,,,,,,,,,,,,,,,이노시스
2019.12,63,3,8,5.45,13.11,1.81,1.55,647.70,1078.12,106,221.48,5914,3.97,-,-,-,테고사이언스
2020.12,88,15,18,17.20,20.60,3.79,3.09,500.57,1121.47,226,134.23,6081,5.00,-,-,-,테고사이언스
2021.12,83,-1,-,-1.18,0.57,0.29,5.46,286.17,1140.04,17,1260.44,6046,3.58,,,,테고사이언스
2022.12(E),,,,,,,,,,,,,,,,,테고사이언스
2019.12,1293,30,-85,2.32,-6.55,-6.16,115.72,37.40,2814.65,-907,-5.90,14463,0.37,-,-,-,인화정공
2020.12,1057,-6,318,-0.60,30.09,21.41,92.64,41.60,3494.58,3410,2.05,17907,0.39,-,-,-,인화정공
2021.12,1105.0,36.0,153.0,3.29,13.82,8.62,92.33,38.44,4025.93,1636.0,8.44,20654.0,0.67,,,,인화정공
2022.12(E),,,,,,,,,,,,,,,,,인화정공
2019.12,189,8,1,4.13,0.45,,261.83,54.79,4944.86,39,,4522,-,,,,피코그램
2020.12,243,30,20,12.26,8.06,18.48,222.19,76.03,5760.83,945,,5541,-,,,2.02,피코그램
2021.12,264.0,33.0,25.0,12.3,9.5,13.01,84.19,56.5,8884.41,1107.0,19.65,9195.0,2.37,,,,피코그램
2022.12(E),,,,,,,,,,,,,,,,,피코그램
2019.12,535.0,-60.0,-3.0,-11.16,-0.48,-0.06,8.17,686.48,2247.95,-7.0,-451.57,12246.0,0.27,100.0,3.08,-1308.74,국순당
2020.12,529.0,46.0,187.0,8.65,35.25,8.79,10.06,535.92,2443.0,1047.0,5.37,14018.0,0.4,160.0,2.85,13.47,국순당
2021.12,652.0,85.0,215.0,12.98,33.04,9.34,10.03,459.59,2655.12,1206.0,7.57,15298.0,0.6,260.0,2.85,18.99,국순당
2022.12(E),779.0,119.0,,15.28,,,,,,605.0,12.05,,,,,,국순당
2019.12,798,39,19,4.83,2.38,4.04,167.77,49.90,2891.86,186,,4612,-,,,-,대성하이텍
2020.12,706,-96,-138,-13.65,-19.60,-36.72,338.19,44.92,1284.72,-1328,,2621,-,,,-,대성하이텍
2021.12,1126,120,74,10.68,6.58,28.71,478.56,37.12,1870.65,725,,2429,-,,,-,대성하이텍
2022.12(E),1310.0,169.0,126.0,12.9,9.62,,,,,1043.0,9.18,,,,,,대성하이텍
2020.02,5592.0,-70.0,-169.0,-1.25,-3.02,-4.44,139.19,155.09,348.72,-301.0,-19.93,6847.0,0.88,35.0,0.58,-11.5,JTC
2021.02,182,-1043,-1111,-574.19,-611.44,-57.43,203.42,147.39,150.99,-3004,-1.70,3613,1.41,,,-,JTC
2022.02,140.0,-901.0,-923.0,-644.85,-661.0,-114.53,764.87,56.48,-31.3,-2627.0,-1.55,975.0,4.17,,,,JTC
2023.02(E),,,,,,,,,,,,,,,,,JTC
2019.12,132.0,2.0,11.0,1.67,8.23,4.38,10.45,672.03,1348.04,59.0,74.41,1375.0,3.21,13.0,0.29,20.67,로보로보
2020.12,48,-26,-31,-52.84,-63.02,-12.70,6.15,621.76,1226.30,-166,-27.59,1276,3.59,-,-,,로보로보
2021.12,76.0,-15.0,-13.0,-20.0,-17.17,-4.91,3.39,587.69,1416.57,-69.0,-87.2,1497.0,4.01,,,,로보로보
2022.12(E),,,,,,,,,,,,,,,,,로보로보
2019.12,1549,44,60,2.85,3.90,7.38,33.01,151.97,2439.22,920,12.17,13640,0.82,-,-,-,MDS테크
2020.12,1466,40,25,2.75,1.70,3.69,46.98,186.86,2549.97,477,30.39,14088,1.03,-,-,-,MDS테크
2021.12,1551.0,22.0,-79.0,1.4,-5.1,-4.36,91.14,116.76,2456.34,-562.0,-46.16,13588.0,1.91,,,,MDS테크
2022.12(E),,,,,,,,,,,,,,,,,MDS테크
2019.12,313,36,30,11.64,9.46,4.18,115.50,234.86,129.86,19,131.09,459,5.37,,,-,휴림네트웍스
2020.12,136,-118,-122,-86.68,-89.99,-33.11,109.84,203.20,135.74,-162,-6.04,471,2.07,,,-,휴림네트웍스
2021.12,260,33,29,12.52,11.34,8.23,97.80,123.15,171.84,41,24.96,553,1.86,,,-,휴림네트웍스
2022.12(E),,,,,,,,,,,,,,,,,휴림네트웍스
2019.12,1301,53,35,4.10,2.70,15.92,397.94,26.04,-31.02,77,10.39,690,1.16,-,-,-,오리엔탈정공
2020.12,1677,213,293,12.67,17.48,64.06,193.64,31.33,93.85,644,3.82,1321,1.86,-,-,-,오리엔탈정공
2021.12,1159.0,67.0,46.0,5.78,3.93,6.73,148.13,95.49,118.17,100.0,36.74,1652.0,2.22,,,,오리엔탈정공
2022.12(E),,,,,,,,,,,,,,,,,오리엔탈정공
2019.12,656,77,62,11.69,9.52,25.95,99.33,88.71,256.22,371,23.56,1661,5.25,-,-,-,코세스
2020.12,638,95,63,14.95,9.94,22.76,152.95,160.69,316.72,379,23.24,1863,4.72,-,-,-,코세스
2021.12,772.0,138.0,111.0,17.94,14.42,27.84,45.16,125.22,508.87,671.0,22.8,3093.0,4.95,,,,코세스
2022.12(E),,,,,,,,,,,,,,,,,코세스
2019.12,763.0,98.0,47.0,12.87,6.15,15.55,148.0,101.16,726.46,230.0,23.93,1694.0,3.25,45.0,0.82,18.86,현대이지웰
2020.12,872.0,133.0,79.0,15.27,9.01,19.36,120.86,104.81,439.86,411.0,26.39,2599.0,4.18,55.0,0.51,13.77,현대이지웰
2021.12,965.0,159.0,154.0,16.51,15.95,21.6,88.89,62.57,563.35,648.0,16.51,3403.0,3.14,70.0,0.65,10.8,현대이지웰
2022.12(E),,,,,,,,,,,,,,,,,현대이지웰
2019.12,863.0,35.0,21.0,4.02,2.4,2.96,114.11,80.79,211.46,39.0,83.73,1519.0,2.16,50.0,1.52,111.14,와이어블
2020.12,890.0,44.0,30.0,4.98,3.38,4.28,104.81,91.35,214.14,57.0,78.81,1541.0,2.91,50.0,1.11,76.43,와이어블
2021.12,785.0,37.0,25.0,4.69,3.2,3.43,85.94,112.04,220.23,48.0,67.5,1579.0,2.03,50.0,1.56,95.11,와이어블
2022.12(E),,,,,,,,,,,,,,,,,와이어블
2019.12,475,19,-4,4.04,-0.91,-3.68,383.47,30.34,3891.60,-24,,642,-,,,-,씨앤투스성진
2020.12,1579,687,321,43.49,20.33,75.70,68.98,132.75,2090.11,1624,,3242,-,,,-,씨앤투스성진
2021.12,1709.0,563.0,463.0,32.96,27.1,39.4,22.26,229.03,1129.68,1601.0,4.79,5770.0,1.33,420.0,5.47,25.48,씨앤투스성진
2022.12(E),1707.0,447.0,374.0,26.19,21.88,21.46,,,,1321.0,3.41,6657.0,0.68,440.0,,,씨앤투스성진
2019.12,9,-41,-40,-453.79,-447.04,-98.60,61.25,987.79,-84.05,-403,,272,-,,,-,피플바이오
2020.12,5,-46,-44,-896.78,-863.09,-76.03,20.70,1958.05,155.83,-427,-62.42,789,33.78,,,-,피플바이오
2021.12,6.0,-72.0,-49.0,-1253.81,-856.37,,170.02,136.06,158.94,-407.0,-40.3,1436.0,11.42,,,,피플바이오
2022.12(E),,,,,,,,,,,,,,,,,피플바이오
2019.12,169,15,40,8.91,23.91,0.84,65.87,329.23,38.06,27,129.62,3191,1.08,-,-,-,이엔코퍼레이션
2020.12,135,3,-472,2.17,-348.49,-50.70,44.21,53.05,-16.75,-1254,-2.87,1666,2.16,-,-,-,이엔코퍼레이션
2021.12,1683,40,192,2.37,11.42,27.26,162.88,28.81,496.34,564,8.21,2462,1.88,,,-,이엔코퍼레이션
2022.12(E),2888,173,100,5.99,3.46,8.70,,,,219,13.08,2842,1.01,-,,,이엔코퍼레이션
2019.12,200,13,15,6.46,7.37,24.30,78.81,96.44,451.06,486,10.29,2127,2.35,,,-,래몽래인
2020.12,347,37,32,10.67,9.10,19.13,16.07,433.76,836.86,691,29.38,4753,4.27,-,-,-,래몽래인
2021.12,410,32,23,7.69,5.68,6.83,61.78,189.34,1302.50,465,51.64,7145,3.36,,,-,래몽래인
2022.12(E),639,63,50,9.86,7.90,10.73,,,,807,24.78,7909,2.53,-,,,래몽래인
2019.12,157,-79,-99,-50.41,-62.88,-55.07,102.16,53.62,90.75,-106,-9.79,188,5.52,,,-,대한그린파워
2020.12,50,-77,-209,-155.15,-419.48,-76.61,111.72,49.42,123.34,-155,-6.71,211,4.94,-,-,-,대한그린파워
2021.12,223.0,21.0,-72.0,9.28,-32.21,-19.84,153.51,78.93,133.27,-45.0,-21.89,233.0,4.2,,,,대한그린파워
2022.12(E),,,,,,,,,,,,,,,,,대한그린파워
2019.12,841,87,-15,10.31,-1.84,-0.64,61.46,92.10,1010.35,-36,-305.82,5525,2.02,-,-,-,앤디포스
2020.12,628,72,63,11.49,10.04,6.72,26.02,235.19,1132.60,392,36.51,6155,2.32,,,-,앤디포스
2021.12,633,20,177,3.13,27.90,12.22,36.46,183.68,1270.36,771,12.38,6999,1.36,,,-,앤디포스
2022.12(E),,,,,,,,,,,,,,,,,앤디포스
2019.12,752,65,42,8.58,5.61,71.24,374.97,72.42,594.18,114,,266,,,,-,나인테크
2020.12,659,33,-12,5.00,-1.87,-6.43,158.73,101.88,630.81,-33,-130.81,726,5.90,-,-,-,나인테크
2021.12,631.0,-76.0,-59.0,-12.1,-9.35,-21.81,219.15,63.62,480.61,-150.0,-28.33,656.0,6.47,,,,나인테크
2022.12(E),,,,,,,,,,,,,,,,,나인테크
2019.12,64,13,11,20.57,17.35,11.70,93.65,69.85,354.14,251,,2271,-,,,-,석경에이티
2020.12,67,14,10,21.53,15.20,6.63,30.32,314.74,661.33,229,166.11,3807,9.98,-,-,-,석경에이티
2021.12,91.0,29.0,31.0,32.06,34.24,13.92,11.66,577.04,773.06,569.0,31.39,4365.0,4.09,,,,석경에이티
2022.12(E),,,,,,,,,,,,,,,,,석경에이티
