,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당율(%),배당성향(%),회사명
2020.12,31881.0,-1853.0,-2833.0,-5.81,-8.89,-36.74,363.79,70.14,269.18,-7085.0,-11.62,16472.0,5.0,200.0,0.24,-2.68,호텔신라
2021.12,37791.0,1188.0,271.0,3.14,0.72,4.51,360.47,45.6,242.58,677.0,115.28,15228.0,5.12,200.0,0.26,28.11,호텔신라
2022.12(E),48506.0,1381.0,562.0,2.85,1.16,9.53,,,,1436.0,52.09,16637.0,4.5,214.0,,,호텔신라
2019.12,52641,1652,1624,3.14,3.09,5.45,204.99,96.80,710.70,2555,13.72,48217,0.73,,,-,한화에어로스페이스
2020.12,53214.0,2439.0,1647.0,4.58,3.1,4.78,216.58,90.55,750.6,2388.0,11.93,51329.0,0.56,600.0,2.11,25.01,한화에어로스페이스
2021.12,64151.0,3830.0,3018.0,5.97,4.7,9.21,180.95,106.4,843.51,4989.0,9.62,57134.0,0.84,700.0,1.46,14.01,한화에어로스페이스
2022.12(E),70717.0,3928.0,2090.0,5.55,2.96,6.61,,,,3856.0,16.0,59594.0,1.04,633.0,,,한화에어로스페이스
2019.12,59461.0,1966.0,1514.0,3.31,2.55,26.46,248.93,68.71,3372.48,8758.0,19.35,36040.0,4.7,2700.0,1.59,30.81,BGF리테일
2020.12,61813.0,1622.0,1227.0,2.62,1.98,18.6,240.28,70.52,3803.31,7100.0,19.09,40337.0,3.36,2400.0,1.77,33.79,BGF리테일
2021.12,67812.0,1994.0,1476.0,2.94,2.18,19.61,220.81,68.85,4439.53,8542.0,17.03,46849.0,3.11,3000.0,2.06,35.1,BGF리테일
2022.12(E),75705.0,2545.0,1897.0,3.36,2.5,21.59,,,,10976.0,15.03,54860.0,3.01,3191.0,,,BGF리테일
2019.12,11136.0,1039.0,639.0,9.33,5.73,7.3,132.74,71.05,2542.54,4230.0,67.5,59095.0,4.83,471.0,0.17,11.07,한미약품
2020.12,10759.0,490.0,173.0,4.55,1.61,1.65,126.24,57.32,2525.97,971.0,370.3,59651.0,6.03,481.0,0.13,49.18,한미약품
2021.12,12032.0,1254.0,815.0,10.42,6.77,8.74,108.64,69.45,2682.8,5441.0,50.72,65683.0,4.2,490.0,0.18,8.94,한미약품
2022.12(E),13169.0,1461.0,1022.0,11.1,7.76,9.91,,,,6794.0,34.0,72472.0,3.19,493.0,,,한미약품
2019.12,66562.0,5176.0,3918.0,7.78,5.89,8.15,803.76,,979.5,4388.0,8.8,55423.0,0.7,1700.0,4.4,38.74,삼성증권
2020.12,110024.0,6780.0,5078.0,6.16,4.61,9.89,1101.22,,1059.72,5686.0,7.11,59542.0,0.68,2200.0,5.44,38.69,삼성증권
2021.12,98095.0,13087.0,9653.0,13.34,9.84,16.94,980.55,,1226.33,10810.0,4.15,68096.0,0.66,3800.0,8.46,35.15,삼성증권
2022.12(E),106960.0,7727.0,5666.0,7.22,5.3,9.19,,,,6423.0,4.91,71709.0,0.44,2385.0,,,삼성증권
2019.12,7994.0,601.0,347.0,7.52,4.34,9.92,98.9,98.07,4395.39,874.0,20.63,9821.0,1.84,218.0,1.21,22.33,씨에스윈드
2020.12,9691.0,976.0,336.0,10.07,3.47,8.19,98.56,103.17,4963.19,845.0,104.75,11314.0,7.83,473.0,0.53,55.93,씨에스윈드
2021.12,12034.0,1010.0,647.0,8.39,5.38,10.13,87.36,126.08,4102.94,1601.0,41.04,21204.0,3.1,600.0,0.91,38.22,씨에스윈드
2022.12(E),14966.0,796.0,336.0,5.32,2.25,4.23,,,,907.0,73.96,22101.0,3.04,572.0,,,씨에스윈드
2019.12,244226.0,6053.0,2024.0,2.48,0.83,7.06,193.94,110.09,391.53,1697.0,10.99,24703.0,0.75,700.0,3.75,41.24,포스코인터내셔널
2020.12,214724.0,4745.0,2295.0,2.21,1.07,7.69,163.47,112.89,416.01,1934.0,7.52,25598.0,0.57,700.0,4.81,36.2,포스코인터내셔널
2021.12,339489.0,5854.0,3565.0,1.72,1.05,10.86,206.67,92.62,462.13,2924.0,7.68,28259.0,0.79,800.0,3.56,27.36,포스코인터내셔널
2022.12(E),410672.0,9425.0,6348.0,2.3,1.55,16.56,,,,5042.0,4.54,32639.0,0.7,957.0,,,포스코인터내셔널
2019.12,737,9,14,1.21,1.90,,21.85,256.73,2439.59,17,,1410,-,,,-,에스디바이오센서
2020.12,16862,7383,6216,43.78,36.87,139.97,92.94,116.38,1504.85,6597,,8016,-,,,8.11,에스디바이오센서
2021.12,29300.0,13640.0,10644.0,46.55,36.33,72.47,36.39,200.44,4298.27,10864.0,5.15,21658.0,2.58,1266.0,2.26,12.03,에스디바이오센서
2022.12(E),29365.0,12143.0,9820.0,41.35,33.44,37.45,,,,9519.0,2.91,30244.0,0.92,1204.0,,,에스디바이오센서
2019.12,24593,-2799,-3557,-11.38,-14.46,-37.93,362.61,55.57,59.32,-4168,-3.74,9695,1.61,-,-,-,현대로템
2020.12,27853,821,224,2.95,0.80,2.84,211.81,57.17,73.28,325,52.85,12493,1.38,-,-,-,현대로템
2021.12,28725.0,802.0,514.0,2.79,1.79,5.01,223.85,47.66,86.41,609.0,34.13,11847.0,1.76,,,,현대로템
2022.12(E),31455,1296,824,4.12,2.62,6.53,,,,815,32.57,13134,2.02,-,,,현대로템
2019.12,223151.0,9623.0,7871.0,4.31,3.53,15.26,935.99,,8309.75,2841.0,4.15,20399.0,0.58,550.0,4.66,18.61,메리츠금융지주
2020.12,284706.0,13721.0,9253.0,4.82,3.25,16.06,911.51,,9535.09,3587.0,2.74,25445.0,0.39,900.0,9.17,24.19,메리츠금융지주
2021.12,356499.0,18006.0,13832.0,5.05,3.88,22.32,1091.74,,9717.3,5889.0,7.47,29591.0,1.49,210.0,0.48,3.35,메리츠금융지주
2022.12(E),,18626.0,14118.0,,,21.84,,,,6599.0,3.22,34120.0,0.62,90.0,,,메리츠금융지주
2019.12,107713.0,9418.0,8472.0,8.74,7.87,18.14,1107.36,,1550.79,13724.0,5.28,85684.0,0.84,2900.0,4.01,20.08,한국금융지주
2020.12,165117.0,8564.0,8600.0,5.19,5.21,16.27,1150.6,,1745.43,14021.0,5.63,96097.0,0.82,3000.0,3.8,20.33,한국금융지주
2021.12,137861.0,15210.0,17646.0,11.03,12.8,27.12,1004.41,,2328.63,28650.0,2.82,126688.0,0.64,6150.0,7.62,20.37,한국금융지주
2022.12(E),,10166.0,8615.0,,,11.36,,,,14125.0,3.44,135534.0,0.36,3150.0,,,한국금융지주
2019.12,34217.0,2058.0,1395.0,6.02,4.08,15.09,135.44,158.36,5735.51,1200.0,20.04,9347.0,2.57,820.0,3.41,60.16,제일기획
2020.12,27479.0,2049.0,1583.0,7.46,5.76,16.11,120.82,160.2,6065.18,1368.0,15.06,9948.0,2.07,840.0,4.08,54.05,제일기획
2021.12,33257.0,2482.0,1676.0,7.46,5.04,15.58,125.51,161.92,6385.5,1438.0,15.88,11030.0,2.07,990.0,4.33,60.59,제일기획
